game_id,config,seat_0_agent,seat_1_agent,seat_2_agent,seat_3_agent,placement_1,placement_2,placement_3,placement_4
2329,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP_SELF,Neural_MLP,History,Neural_MLP,History,Neural_MLP_SELF,PUCT
2334,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP,Neural_MLP_SELF,History,History,Neural_MLP,Neural_MLP_SELF,PUCT
2330,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,History,Neural_MLP_SELF,PUCT,Neural_MLP
2331,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,History,PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT,Neural_MLP_SELF
2333,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,PUCT,Neural_MLP,PUCT,Neural_MLP,Neural_MLP_SELF,History
2335,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT,Neural_MLP,Neural_MLP_SELF
2332,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,History,PUCT,Neural_MLP_SELF,Neural_MLP_SELF,PUCT,History,Neural_MLP
2336,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,PUCT,Neural_MLP_SELF,History,Neural_MLP_SELF,History,PUCT,Neural_MLP
2337,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP,History,Neural_MLP_SELF,Neural_MLP,PUCT
2340,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,History,Neural_MLP_SELF,Neural_MLP,Neural_MLP_SELF,Neural_MLP,PUCT,History
2339,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT,Neural_MLP,Neural_MLP_SELF,History,PUCT
2338,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,Neural_MLP,PUCT,Neural_MLP,PUCT,History,Neural_MLP_SELF
2341,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,Neural_MLP_SELF,PUCT,History,PUCT,History,Neural_MLP_SELF,Neural_MLP
2342,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,PUCT,Neural_MLP,Neural_MLP,PUCT,Neural_MLP_SELF,History
2343,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP,History,Neural_MLP_SELF,Neural_MLP_SELF,Neural_MLP,PUCT,History
2344,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP,Neural_MLP_SELF,Neural_MLP,History,PUCT
2345,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,Neural_MLP,History,Neural_MLP_SELF,Neural_MLP_SELF,History,Neural_MLP,PUCT
2346,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,PUCT,Neural_MLP,PUCT,Neural_MLP_SELF,Neural_MLP,History
2349,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,Neural_MLP,PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,History
2347,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,PUCT,History,Neural_MLP,PUCT,Neural_MLP,History,Neural_MLP_SELF
2348,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,PUCT,History,Neural_MLP,Neural_MLP_SELF,PUCT,Neural_MLP,History
2350,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,Neural_MLP,History,PUCT,History,Neural_MLP_SELF,PUCT,Neural_MLP
2351,History_Neural_MLP_Neural_MLP_SELF_PUCT,PUCT,History,Neural_MLP,Neural_MLP_SELF,History,PUCT,Neural_MLP_SELF,Neural_MLP
2352,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP,Neural_MLP_SELF,PUCT,History,Neural_MLP,PUCT,Neural_MLP_SELF
2353,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,PUCT,Neural_MLP,PUCT,Neural_MLP,History,Neural_MLP_SELF
2354,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP,Neural_MLP_SELF,PUCT,PUCT,Neural_MLP_SELF,History,Neural_MLP
2355,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP,Neural_MLP_SELF,History,PUCT,Neural_MLP
