game_id, config, placement_1     , placement_2     , placement_3
    120, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    123, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    122, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    121, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    124, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    126, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    125, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    128, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    127, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    130, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    129, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    132, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    131, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    133, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    134, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    135, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    136, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    137, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    140, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    138, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    139, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    141, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    143, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    142, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    145, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    144, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    147, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    146, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    148, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    149, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    150, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    152, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    151, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    153, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    154, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    157, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    155, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    156, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    159, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    158, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    161, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    160, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    162, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    163, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    165, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    164, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    167, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    170, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    169, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    166, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    168, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    172, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    173, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    171, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    174, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    175, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    176, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    177, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    178, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    179, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    180, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    182, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    181, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    183, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    184, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    185, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    186, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    187, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    188, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    190, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    189, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    191, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    192, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    195, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    193, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    194, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    196, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    197, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    198, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    199, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    200, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    202, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    201, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    203, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    204, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    205, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    208, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    207, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    206, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    209, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    211, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    212, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    210, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    213, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    216, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    215, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    218, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    214, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    217, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    219, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    220, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    221, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    223, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    222, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    225, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    224, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    227, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    226, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    228, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    229, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    230, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    232, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    231, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    233, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    234, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    235, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    236, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    237, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    238, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    240, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    239, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    241, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    242, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    243, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    244, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    245, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    246, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    247, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    248, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
    249, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    251, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    250, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    252, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    253, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    255, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    254, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    256, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
    258, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
    257, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
